"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"GPS Speed"
2021-05-22	08:32:58	0	10700000000	10700000000	-112.386728	368.870134	-1.100682	0.649474	40.582669	-0.058723	-1.138288	103.581740
2021-05-22	08:32:58	0	10800000000	10800000000	-112.386739	371.744556	-1.090459	0.666351	40.582645	-0.038877	-1.190921	103.301415
2021-05-22	08:32:58	0	10900000000	10900000000	-112.386750	374.615122	-1.077489	0.738253	40.582620	-0.013256	-1.226612	103.334749
2021-05-22	08:32:58	0	11000000000	11000000000	-112.386759	377.486032	-1.060218	0.827169	40.582595	0.014595	-1.176258	103.368085
2021-05-22	08:32:58	0	11100000000	11100000000	-112.386767	380.358719	-1.041799	0.841255	40.582570	0.038590	-1.055213	103.414754
2021-05-22	08:32:58	0	11200000000	11200000000	-112.386774	383.236019	-1.024751	0.777773	40.582544	0.058092	-0.954669	103.714750
2021-05-22	08:32:58	0	11300000000	11300000000	-112.386779	386.120847	-1.010889	0.737591	40.582518	0.072527	-0.945604	104.009737
2021-05-22	08:32:58	0	11400000000	11400000000	-112.386784	389.012954	-1.000246	0.778498	40.582492	0.082565	-1.005163	104.214748
2021-05-22	08:32:58	0	11500000000	11500000000	-112.386788	391.912497	-0.993299	0.844131	40.582466	0.089512	-1.049503	104.519740
2021-05-22	08:32:58	0	11600000000	11600000000	-112.386790	394.821255	-0.987563	0.864806	40.582440	0.095248	-1.041511	104.914745
2021-05-22	08:32:58	0	11700000000	11700000000	-112.386791	397.739550	-0.981827	0.850991	40.582413	0.100984	-1.007409	105.214753
2021-05-22	08:32:58	0	11800000000	11800000000	-112.386792	400.666392	-0.976028	0.841865	40.582387	0.106624	-0.965137	105.514748
2021-05-22	08:32:58	0	11900000000	11900000000	-112.386791	403.602192	-0.969081	0.836476	40.582360	0.110321	-0.927196	105.824738
