"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"Throttle Position"	"Longitudinal Acceleration"	"GPS Distance"	"GPS Lateral Acceleration"	"Heading"	"Latitude"	"Lateral Acceleration"	"RPM"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Number of Satellites"
2021-05-22	19:25:00	1	10700000000	9693567991	-112.386322	0.000000	0.070000	365.082419	-0.949246	240.200000	40.583053	0.910000	0.000000	0.198413	93.600000	16.000000
2021-05-22	19:25:00	1	10800000000	9793567991	-112.386349	0.000000	0.090000	367.692406	-0.956345	238.100000	40.583040	0.940000	0.000000	0.212585	94.300000	16.000000
2021-05-22	19:25:00	1	10900000000	9893567991	-112.386375	0.000000	0.110000	370.322366	-0.964458	236.100000	40.583027	0.960000	0.000000	0.184240	95.100000	16.000000
2021-05-22	19:25:00	1	11000000000	9993567991	-112.386400	0.000000	0.120000	372.970647	-0.993176	234.000000	40.583014	0.960000	0.000000	0.155896	95.600000	15.000000
2021-05-22	19:25:00	1	11100000000	10093567991	-112.386425	0.000000	0.110000	375.635792	-0.975614	231.900000	40.582999	0.970000	0.000000	0.226757	96.200000	15.000000
2021-05-22	19:25:00	1	11200000000	10193567991	-112.386450	0.000000	0.130000	378.320581	-0.961712	229.900000	40.582983	0.990000	0.000000	0.170068	97.200000	15.000000
2021-05-22	19:25:00	1	11300000000	10293567991	-112.386473	0.000000	0.130000	381.022565	-0.915507	227.900000	40.582968	0.990000	0.000000	0.099206	97.400000	16.000000
2021-05-22	19:25:00	1	11400000000	10393567991	-112.386497	0.000000	0.130000	383.735131	-0.920206	226.100000	40.582950	0.970000	0.000000	0.113379	97.900000	16.000000
2021-05-22	19:25:00	1	11500000000	10493567991	-112.386520	0.000000	0.140000	386.459933	-0.947316	224.100000	40.582933	0.940000	0.000000	0.170068	98.200000	16.000000
2021-05-22	19:25:00	1	11600000000	10593567991	-112.386542	0.000000	0.160000	389.200079	-0.882460	222.200000	40.582915	0.950000	0.000000	0.184240	99.100000	16.000000
2021-05-22	19:25:00	1	11700000000	10693567991	-112.386563	0.000000	0.140000	391.958214	-0.959857	220.500000	40.582896	0.910000	0.000000	0.155896	99.500000	16.000000
2021-05-22	19:25:00	1	11800000000	10793567991	-112.386583	0.000000	0.150000	394.731627	-0.991395	218.300000	40.582877	0.960000	0.000000	0.155896	100.200000	15.000000
2021-05-22	19:25:00	1	11900000000	10893567991	-112.386603	0.000000	0.170000	397.520450	-0.920701	216.500000	40.582857	0.990000	0.000000	0.141723	100.600000	15.000000
