"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	8600000000	7594834802	0.000000	-112.384252	0.000000	0.000000	167.475848	0.048630	0.190000	40.583142	0.170068	98.300000	267.400000	16.000000
2021-05-21	21:47:00	1	8700000000	7694834802	0.000000	-112.384285	0.010000	0.000000	170.219079	0.098150	0.200000	40.583140	0.198413	99.200000	267.600000	16.000000
2021-05-21	21:47:00	1	8800000000	7794834802	0.000000	-112.384318	0.010000	0.000000	172.981364	0.024661	0.200000	40.583139	0.170068	99.700000	267.800000	16.000000
2021-05-21	21:47:00	1	8900000000	7894834802	0.000000	-112.384351	-0.020000	0.000000	175.760175	0.024834	0.210000	40.583138	0.155896	100.400000	267.700000	16.000000
2021-05-21	21:47:00	1	9000000000	7994834802	0.000000	-112.384384	-0.020000	0.000000	178.554594	0.074800	0.210000	40.583137	0.141723	100.800000	267.900000	16.000000
2021-05-21	21:47:00	1	9100000000	8094834802	0.000000	-112.384417	-0.010000	0.000000	181.363899	0.100327	0.210000	40.583136	0.198413	101.400000	268.000000	16.000000
2021-05-21	21:47:00	1	9200000000	8194834802	0.000000	-112.384450	-0.030000	0.000000	184.189461	0.025280	0.190000	40.583135	0.085034	102.200000	268.300000	16.000000
2021-05-21	21:47:00	1	9300000000	8294834802	0.000000	-112.384484	-0.040000	0.000000	187.027598	0.025230	0.210000	40.583135	0.155896	102.000000	268.100000	15.000000
2021-05-21	21:47:00	1	9400000000	8394834802	0.000000	-112.384518	-0.010000	0.000000	189.880163	0.178862	0.220000	40.583134	0.269274	103.300000	268.400000	15.000000
2021-05-21	21:47:00	1	9500000000	8494834802	0.000000	-112.384552	-0.040000	0.000000	192.756348	0.154200	0.210000	40.583133	0.155896	103.900000	268.800000	15.000000
2021-05-21	21:47:00	1	9600000000	8594834802	0.000000	-112.384586	-0.070000	0.000000	195.650315	0.051648	0.200000	40.583133	0.198413	104.400000	269.000000	15.000000
2021-05-21	21:47:00	1	9700000000	8694834802	0.000000	-112.384621	-0.090000	0.000000	198.562604	0.078139	0.190000	40.583132	0.198413	105.300000	269.000000	15.000000
2021-05-21	21:47:00	1	9800000000	8794834802	0.000000	-112.384656	-0.070000	0.000000	201.494606	0.104680	0.180000	40.583132	0.184240	105.800000	269.300000	15.000000
2021-05-21	21:47:00	1	9900000000	8894834802	0.000000	-112.384691	-0.060000	0.000000	204.444993	0.052736	0.180000	40.583132	0.212585	106.600000	269.400000	15.000000
